City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
409,Honningsvag,NO,70.98,25.97,49.71,88,100,24.58
410,Cayenne,GF,4.93,-52.33,80.6,83,23,4.7
411,Umm Lajj,SA,25.02,37.27,90.61,41,0,6.62
412,Hornepayne,CA,49.21,-84.77,54.82,93,100,18.39
413,Richards Bay,ZA,-28.78,32.04,63.12,84,74,7.45
414,Barsi,IN,18.23,75.7,79.81,79,74,4.68
415,Amapa,BR,1.0,-52.0,72.7,97,28,3.38
416,Concepcion Del Uruguay,AR,-32.48,-58.24,55.0,72,49,1.01
417,Medicine Hat,CA,50.05,-110.67,59.0,62,90,5.82
418,La Paz,BO,-16.5,-68.15,50.0,39,40,9.17
419,Aklavik,CA,68.22,-135.01,48.2,47,20,8.05
420,Dingli,MT,35.86,14.38,78.01,83,76,10.29
421,Montgomery,US,39.15,-77.2,75.99,62,21,6.35
422,Cabedelo,BR,-6.98,-34.83,71.6,88,10,4.7
423,Kushmurun,KZ,52.45,64.63,50.41,86,17,10.71
424,Maningrida,AU,-12.07,134.27,79.52,59,70,12.01
425,Pacocha,PE,-17.58,-71.33,57.45,79,62,6.42
426,Eyl,SO,7.98,49.82,75.52,77,96,21.27
427,La Palma,US,33.85,-118.05,113.0,18,1,4.7
428,Sterling,US,39.01,-77.43,75.99,64,1,5.82
429,Villa Bruzual,VE,9.33,-69.12,77.14,92,72,1.72
430,Merauke,ID,-8.47,140.33,81.97,72,64,14.18
431,Channel-Port Aux Basques,CA,47.57,-59.14,56.77,83,0,8.7
432,High Level,CA,58.52,-117.14,51.8,66,75,12.75
